2,Повне найменування суб’єкта господарювання,company_name,
3,Код за ЄДРПОУ,company_code,
4,"Заборгованість із виплати заробітної плати - темп зміни, %",salary_debt_changes,"темп зміни, %"
5,Заборгованість із виплати заробітної плати - кількість балів,salary_debt_mark,кількість балів
6,"Середньомісячна заробітна плата штатних працівників - темп зміни, %",salary_average_changes,"темп зміни, %"
7,Середньомісячна заробітна плата штатних працівників - кількість балів,salary_average_mark,кількість балів
8,Виконання фінансового плану - чистий дохід (виручка) від реалізації - відсоток виконання,financial_outturn_sales_percent,відсоток виконання
9,Виконання фінансового плану - чистий дохід (виручка) від реалізації - кількість балів,financial_outturn_sales_mark,кількість балів
10,Виконання фінансового плану - чистий прибуток (збиток) - відсоток виконання,financial_outturn_profit_percent,відсоток виконання
11,Виконання фінансового плану - чистий прибуток (збиток) - кількість балів,financial_outturn_profit_mark,кількість балів
12,Виконання фінансового плану - відрахування частини чистого прибутку до державного бюджету - відсоток виконання,financial_outturn_revenue_to_budget_percent,відсоток виконання
13,Виконання фінансового плану - відрахування частини чистого прибутку до державного бюджету - кількість балів,financial_outturn_revenue_to_budget_mark,кількість балів
14,Виконання фінансового плану - відрахування до фонду на виплату дивідендів - відсоток виконання,financial_outturn_revenue_to_state_shareholder_percent,відсоток виконання
15,Виконання фінансового плану - відрахування до фонду на виплату дивідендів - кількість балів,financial_outturn_revenue_to_state_shareholder_mark,кількість балів
16,Виконання фінансового плану - капітальні інвестиції - відсоток виконання,financial_outturn_capital_investments_percent,відсоток виконання
17,Виконання фінансового плану - капітальні інвестиції - кількість балів,financial_outturn_capital_investments_mark,кількість балів
18,"Чистий прибуток (збиток) - темп зміни, %",profit_changes,"темп зміни, %"
19,Чистий прибуток (збиток) - кількість балів,profit_mark,кількість балів
20,Коефіцієнт покриття - на кінець звітного періоду,covering_coefficient_end,на кінець звітного періоду
21,Коефіцієнт покриття - кількість балів,covering_coefficient_mark,кількість балів
22,Коефіцієнт фінансової стійкості - на кінець звітного періоду,firmness_coefficient_end,на кінець звітного періоду
23,Коефіцієнт фінансової стійкості - кількість балів,firmness_coefficient_mark,кількість балів
24,Коефіцієнт платоспроможності - на кінець звітного періоду,solvency_coefficient_end,на кінець звітного періоду
25,Коефіцієнт платоспроможності - кількість балів,solvency_coefficient_mark,кількість балів
26,Ступінь зносу основних засобів - на кінець звітного періоду,amortization_end,на кінець звітного періоду
27,Ступінь зносу основних засобів - кількість балів,amortization_mark,кількість балів
28,Аудиторський висновок - результати,audition_result,результати
29,Аудиторський висновок - кількість балів,audition_mark,кількість балів
30,Сума набраних балів,total_mark,
